,Gas Limitation, Permission Check, Inappropriate Logic, Specialized DApp Features, Version Gap, Inappropriate Standard, Smells,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,
1000, ,,,,,,,,,,,,,,,,,,,
10026, ,,,,,,,,,,,,,,,,,,,
10028, ,,,,,,,,,,,,,,,,,,,
10032, ,,,,,,,,,,,,,,,,,,,
10036, ,,,,,,,,,,,,,,,,,,,
10039, ,,Y,,,,,,,,,,,,,,,,,
1004, ,,,,,,,,,,,,,,,,,,,
10053, ,,,,,,,,,,,,,,,,,,,
10058, ,,,,,,,,,,,,,,,,,,,
10080, ,,,,,,,,,,,,,,,,,,,
10085, ,,,,,,,,,,,,,,,,,,,
10093, ,,,,,,,,,,,,,,,,,,,
10108, ,,,,,,,,,,,,,,,,,,,
10116, ,,,,,,,,,,,,,,,,,,,
10119, ,,,,,,,,,,,,,,,,,,,
10120, ,,,,,,,,,,,,,,,,,,,
10125, ,,,,,,,,,,,,,,,,,,,
10133, ,,,,,,,,,,,,,,,,,,,
10143, ,,,,,,,,,,,,,,,,,,,
10160, ,,,,,,,,,,,,,,,,,,,
10164, ,,,,,,,,,,,,,,,,,,,
1017, ,,,,,,,,,,,,,,,,,,,
10186, ,,,,,,,,,,,,,,,,,,,
1018, ,,,,,,,,,,,,,,,,,,,
10190, ,,,,,,,,,,,,,,,,,,,
10196, ,,,,,,,,,,,,,,,,,,,
10214, ,,,,,,,,,,,,,,,,,,,
10216, ,,,,,,,,,,,,,,,,,,,
10221, ,,,Y,,,Missing Interrupter,,,,,,,,,,,,,
10223, ,,,,,,,,,,,,,,,,,,,
10237, ,,,,,,,,,,,,,,,,,,,
10284, ,,,,,,,,,,,,,,,,,,,
10285, ,,,,,,,,,,,,,,,,,,,
10288, ,,,,,,,,,,,,,,,,,,,
10291, ,,,,,,,,,,,,,,,,,,,
10293, ,,,,,,,,,,,,,,,,,,,
10315, ,,,,,,,,,,,,,,,,,,,
10323, ,,,,,,,,,,,,,,,,,,,
10328, ,,,,,,,,,,,,,,,,,,,
10331, ,,,,,,,,,,,,,,,,,,,
10333, ,,,,,,,,,,,,,,,,,,,
10337, ,,,,,,,,,,,,,,,,,,,
10348, ,,,,,,,,,,,,,,,,,,,
10349, ,,,,,,,,,,,,,,,,,,,
1034, ,,,,,,,,,,,,,,,,,,,
10351, ,,,,,,,,,,,,,,,,,,,
10357, ,,,,,,,,,,,,,,,,,,,
10359, ,,,,,,,,,,,,,,,,,,,
10363, ,,,,,,,,,,,,,,,,,,,
10365, ,,,,,,,,,,,,,,,,,,,
10376, ,,,,,,,,,,,,,,,,,,,
10378, ,,,,,,,,,,,,,,,,,,,
10381, ,,,,,,,,,,,,,,,,,,,
10382, ,,,,,,,,,,,,,,,,,,,
10392, ,,,,,,,,,,,,,,,,,,,
10405, ,,,,,,,,,,,,,,,,,,,
10420, ,,,,,,,,,,,,,,,,,,,
10423, ,,,,,,,,,,,,,,,,,,,
10424, ,,,,,,,,,,,,,,,,,,,
10431, ,,,,,,,,,,,,,,,,,,,
10442, ,,,,,,,,,,,,,,,,,,,
10451, ,,,,,,,,,,,,,,,,,,,
10459, ,,,,,,,,,,,,,,,,,,,
10462, ,,,,,,,,,,,,,,,,,,,
10478, ,,,,,,,,,,,,,,,,,,,
10486, ,,,,,,,,,,,,,,,,,,,
10493, ,,,,,,,,,,,,,,,,,,,
10494, ,,,,,,,,,,,,,,,,,,,
10505, ,,,,,,,,,,,,,,,,,,,
10514, ,,,,,,,,,,,,,,,,,,,
10515, ,,,,,,,,,,,,,,,,,,,
10529, ,,,,,,,,,,,,,,,,,,,
10530, ,,,,,,,,,,,,,,,,,,,
10536, ,,,,,,,,,,,,,,,,,,,
10538, ,,,,,,,,,,,,,,,,,,,
10539, ,,,Y,,,,,,,,,,,,,,,,
10546, ,,,,,,,,,,,,,,,,,,,
10548, ,,,,,,,,,,,,,,,,,,,
10567, ,,,,,,,,,,,,,,,,,,,
10569, ,,,,,,,,,,,,,,,,,,,
10571, ,,,,,,,,,,,,,,,,,,,
10573, ,,,,,,,,,,,,,,,,,,,
10579, ,,,,,,,,,,,,,,,,,,,
10595, ,,,,,,,,,,,,,,,,,,,
10600, ,,,,,,,,,,,,,,,,,,,
10601, ,,,,,,,,,,,,,,,,,,,
10602, ,,,,,,,,,,,,,,,,,,,
10607, ,,,,,,,,,,,,,,,,,,,
10608, ,,,,,,,,,,,,,,,,,,,
10615, ,,,Y,,,,,,,,,,,,,,,,
10629, ,,,,,,,,,,,,,,,,,,,
1062, ,,,,,,,,,,,,,,,,,,,
10637, ,,,,,,,,,,,,,,,,,,,
10642, ,,,,,,,,,,,,,,,,,,,
10651, ,,,,,,,,,,,,,,,,,,,
10658, ,,,,,,,,,,,,,,,,,,,
10664, ,,,,,,,,,,,,,,,,,,,
10679, ,,,,,,,,,,,,,,,,,,,
10685, ,,,,,,,,,,,,,,,,,,,
10699, ,,,,,,,,,,,,,,,,,,,
1069, ,,,,,,,,,,,,,,,,,,,
10703, ,,,,,,,,,,,,,,,,,,,
10704, ,,,,,,,,,,,,,,,,,,,
10720, ,,,,,,,,,,,,,,,,,,,
1072, ,,,,,,,,,,,,,,,,,,,
10757, ,,,,,,,,,,,,,,,,,,,
10764, ,,,,,,,,,,,,,,,,,,,
10765,Y,,,,,,,,,,,,,,,,,,,
10772, ,,,,,,,,,,,,,,,,,,,
10781, ,,,,,,,,,,,,,,,,,,,
10806, ,,,,,,,,,,,,,,,,,,,
10811, ,,,,,,,,,,,,,,,,,,,
10818, ,,,,,,,,,,,,,,,,,,,
1081, ,,,,,,,,,,,,,,,,,,,
10825, ,,,,,,,,,,,,,,,,,,,
10831, ,,,,,,,,,,,,,,,,,,,
10832, ,,,,,,,,,,,,,,,,,,,
10842, ,,,,,,,,,,,,,,,,,,,
10846, ,,,,,,,,,,,,,,,,,,,
10864, ,,,,,,,,,,,,,,,,,,,
10868, ,,,,,,,,,,,,,,,,,,,
10872, ,,,,,,,,,,,,,,,,,,,
10875, ,,,,,,,,,,,,,,,,,,,
10878, ,,,,,,,,,,,,,,,,,,,
10892, ,,,,,,,,,,,,,,,,,,,
10898, ,,,,,,,,,,,,,,,,,,,
10914, ,,,,,,,,,,,,,,,,,,,
10915, ,,,,,,,,,,,,,,,,,,,
10932, ,,,,,,,,,,,,,,,,,,,
10933, ,,,,,,,,,,,,,,,,,,,
10973, ,,,,,,,,,,,,,,,,,,,
10975, ,,,,,,,,,,,,,,,,,,,
10988, ,,,,,,,,,,,,,,,,,,,
10990, ,,,,,,,,,,,,,,,,,,,
10999, ,,,,,,,,,,,,,,,,,,,
11001, ,,,,,,,,,,,,,,,,,,,
11014, ,,,,,,,,,,,,,,,,,,,
11018, ,,,,,,,,,,,,,,,,,,,
11030, ,,,,,,,,,,,,,,,,,,,
11032, ,,,,,,,,,,,,,,,,,,,
11053, ,,,,,,,,,,,,,,,,,,,
11060, ,,,,,,,,,,,,,,,,,,,
1106, ,,,,,,,,,,,,,,,,,,,
11077, ,,,,,,,,,,,,,,,,,,,
11078, ,,,,,,,,,,,,,,,,,,,
11081, ,,,,,,,,,,,,,,,,,,,
11091, ,,,,,,,,,,,,,,,,,,,
11093, ,,,,,,,,,,,,,,,,,,,
11095, ,,,,,,,,,,,,,,,,,,,
11099, ,,,,,,,,,,,,,,,,,,,
11102, ,,,,,,,,,,,,,,,,,,,
11106, ,,,,,,,,,,,,,,,,,,,
11119, ,,,,,,,,,,,,,,,,,,,
11120, ,,,,,,,,,,,,,,,,,,,
11139, ,,,,,,,,,,,,,,,,,,,
11143, ,,,,,,,,,,,,,,,,,,,
11150, ,,,,,,,,,,,,,,,,,,,
11153, ,,,,,,,,,,,,,,,,,,,
11157, ,,,,,,,,,,,,,,,,,,,
11179, ,,,,,,,,,,,,,,,,,,,
11187, ,,,Y,,,Hard Code Address,,,,,,,,,,,,,
1118, ,,,,,,,,,,,,,,,,,,,
11191, ,,,,,,,,,,,,,,,,,,,
11194, ,Y,,Y,,,Re-entrancy,,,,,,,,,,,,,
11199, ,,,,,,,,,,,,,,,,,,,
11216, ,,,,,,,,,,,,,,,,,,,
11219, ,,,,,,,,,,,,,,,,,,,
11222, ,,,,,,,,,,,,,,,,,,,
11223, ,,,,,,,,,,,,,,,,,,,
11228, ,,,,,,,,,,,,,,,,,,,
1122, ,,Y,,,,,,,,,,,,,,,,,
11235, ,,,,,,,,,,,,,,,,,,,
11237, ,,,,,,,,,,,,,,,,,,,
11243, ,,,,,,,,,,,,,,,,,,,
11244, ,,,,,,,,,,,,,,,,,,,
11247, ,,,,,,,,,,,,,,,,,,,
11252, ,,,,,,,,,,,,,,,,,,,
11261,Y,,,,,,,,,,,,,,,,,,,
11271, ,,,,,,,,,,,,,,,,,,,
11277, ,,,,,,,,,,,,,,,,,,,
11278, ,,,,,,,,,,,,,,,,,,,
11279, ,,,,,,,,,,,,,,,,,,,
11283, ,Y,,,,,,,,,,,,,,,,,,
11288, ,,,,,,,,,,,,,,,,,,,
11290, ,,,,,,,,,,,,,,,,,,,
11291, ,,,,,,,,,,,,,,,,,,,
11298, ,,,,,,,,,,,,,,,,,,,
11303, ,,,,,,,,,,,,,,,,,,,
11312, ,,,,,Y,,,,,,,,,,,,,,
11319, ,,,,,,,,,,,,,,,,,,,
11326, ,,,,,,,,,,,,,,,,,,,
11328, ,,,,,,,,,,,,,,,,,,,
11330, ,,,,,,,,,,,,,,,,,,,
11342, ,,,,,,,,,,,,,,,,,,,
11347, ,,,,,,,,,,,,,,,,,,,
11349, ,,,,,,,,,,,,,,,,,,,
11362, ,,,,,,,,,,,,,,,,,,,
11365, ,,,,,,,,,,,,,,,,,,,
11368, ,,,,,,,,,,,,,,,,,,,
11369, ,,,,,,,,,,,,,,,,,,,
11375, ,,,,,,,,,,,,,,,,,,,
11378, ,,,,,,,,,,,,,,,,,,,
11391, ,,,,,,,,,,,,,,,,,,,
11402, ,,,,,,,,,,,,,,,,,,,
11407, ,,,,,,,,,,,,,,,,,,,
11416, ,,,,,,,,,,,,,,,,,,,
11422, ,,,,,,,,,,,,,,,,,,,
11430, ,,,,,,,,,,,,,,,,,,,
11432, ,,,,,,,,,,,,,,,,,,,
11434, ,,,,,,,,,,,,,,,,,,,
11438, ,,,,,,,,,,,,,,,,,,,
11440, ,,,,,,,,,,,,,,,,,,,
11454, ,,,,,,,,,,,,,,,,,,,
11469, ,,,,,,,,,,,,,,,,,,,
11479, ,,,,,,,,,,,,,,,,,,,
11482, ,,,,,,,,,,,,,,,,,,,
11484, ,Y,,,,,,,,,,,,,,,,,,
11491, ,,,,,,,,,,,,,,,,,,,
11495, ,,,,,,,,,,,,,,,,,,,
11502, ,,,,,,,,,,,,,,,,,,,
11518, ,,,,,,,,,,,,,,,,,,,
11519, ,,,,,,,,,,,,,,,,,,,
11523, ,,,,,,,,,,,,,,,,,,,
11543, ,,,,,,,,,,,,,,,,,,,
11558, ,,,,,,,,,,,,,,,,,,,
11585, ,,,,,,,,,,,,,,,,,,,
11591, ,,,,,,,,,,,,,,,,,,,
11601, ,,,,,,,,,,,,,,,,,,,
11606, ,,,,,,,,,,,,,,,,,,,
11617, ,,,,Y,,,,,,,,,,,,,,,
11626, ,,,,,,,,,,,,,,,,,,,
11646, ,,,,,,,,,,,,,,,,,,,
11647, ,,,,,,,,,,,,,,,,,,,
11652, ,,,,,,,,,,,,,,,,,,,
11654,Y,,,,,,,,,,,,,,,,,,,
11673, ,,,,,,,,,,,,,,,,,,,
11675, ,,,,,,,,,,,,,,,,,,,
11695, ,,,,,,,,,,,,,,,,,,,
11699, ,,,,,,,,,,,,,,,,,,,
11708, ,,Y,,,,,,,,,,,,,,,,,
11717, ,,,,,,,,,,,,,,,,,,,
11726, ,,,,,,,,,,,,,,,,,,,
11729, ,,,,,,,,,,,,,,,,,,,
1172, ,,,,,,,,,,,,,,,,,,,
11735, ,,,,,,,,,,,,,,,,,,,
11743, ,,,,,,,,,,,,,,,,,,,
11746, ,,,,,,,,,,,,,,,,,,,
11758, ,,,,,,,,,,,,,,,,,,,
11770, ,,,Y,,,High Gas Consumption Data Type,,,,,,,,,,,,,
11772, ,,Y,,,,,,,,,,,,,,,,,
11780, ,,,,,,,,,,,,,,,,,,,
11782, ,,,,,,,,,,,,,,,,,,,
11785, ,,,,,,,,,,,,,,,,,,,
11787, ,,,,,,,,,,,,,,,,,,,
11792, ,,,,,,,,,,,,,,,,,,,
11802, ,,Y,,,,,,,,,,,,,,,,,
11804, ,,,,,,,,,,,,,,,,,,,
11811, ,,,,,,,,,,,,,,,,,,,
11816, ,,,,,,,,,,,,,,,,,,,
11825, ,,,,,,,,,,,,,,,,,,,
11828, ,,,,,,,,,,,,,,,,,,,
11831, ,,,,,,,,,,,,,,,,,,,
11832, ,,,,,,,,,,,,,,,,,,,
11840, ,,,,,,,,,,,,,,,,,,,
11844, ,,,,,,,,,,,,,,,,,,,
11853, ,,,,,,,,,,,,,,,,,,,
11856, ,,,,,,,,,,,,,,,,,,,
11866, ,,,,,,,,,,,,,,,,,,,
11876, ,,,,,,,,,,,,,,,,,,,
11889, ,,,,,,,,,,,,,,,,,,,
1188, ,,,,,,,,,,,,,,,,,,,
11898, ,,,,,,,,,,,,,,,,,,,
11906, ,,,,,,,,,,,,,,,,,,,
11912, ,,,,,,,,,,,,,,,,,,,
11923, ,,,,,,,,,,,,,,,,,,,
11924, ,,,,,,,,,,,,,,,,,,,
11926, ,,,,,,,,,,,,,,,,,,,
11941, ,,,,,,,,,,,,,,,,,,,
11945, ,,,,,,,,,,,,,,,,,,,
11947, ,,,,,,,,,,,,,,,,,,,
11961, ,,Y,,,,,,,,,,,,,,,,,
11972, ,,,,,,,,,,,,,,,,,,,
11975, ,,,,,,,,,,,,,,,,,,,
11976, ,,,,,,,,,,,,,,,,,,,
11979, ,,,,,,,,,,,,,,,,,,,
11982, ,,,,,,,,,,,,,,,,,,,
11983, ,,,,,,,,,,,,,,,,,,,
11990, ,,,,,,,,,,,,,,,,,,,
11997, ,,,,,,,,,,,,,,,,,,,
12003, ,,,,,,,,,,,,,,,,,,,
12008, ,,,,,,,,,,,,,,,,,,,
12016, ,,,,,,,,,,,,,,,,,,,
12018, ,,,,,,,,,,,,,,,,,,,
12029, ,,,,,,,,,,,,,,,,,,,
12036, ,,,,,,,,,,,,,,,,,,,
12054, ,,,,,,,,,,,,,,,,,,,
12056, ,,,,,,,,,,,,,,,,,,,
12065, ,,,,,,,,,,,,,,,,,,,
12084, ,,,,,,,,,,,,,,,,,,,
12090, ,,Y,,,,,,,,,,,,,,,,,
12095, ,,,,,,,,,,,,,,,,,,,
12096, ,,,,,,,,,,,,,,,,,,,
12097, ,,,,,,,,,,,,,,,,,,,
12098, ,,,,,,,,,,,,,,,,,,,
12099, ,,,,,,,,,,,,,,,,,,,
12104, ,,,,,,,,,,,,,,,,,,,
12112,Y,,,,,,,,,,,,,,,,,,,
12119, ,,,,,,,,,,,,,,,,,,,
12120, ,,,,,,,,,,,,,,,,,,,
12122, ,,,,,,,,,,,,,,,,,,,
12123, ,,,,,,,,,,,,,,,,,,,
12127, ,,,,,,,,,,,,,,,,,,,
12129, ,,,,,,,,,,,,,,,,,,,
12139, ,,,,,,,,,,,,,,,,,,,
12151, ,,,,,,,,,,,,,,,,,,,
12159, ,,,,,,,,,,,,,,,,,,,
12160, ,,,,,,,,,,,,,,,,,,,
12166, ,,,,,,,,,,,,,,,,,,,
12170, ,,,,,,,,,,,,,,,,,,,
1217, ,,,,,,,,,,,,,,,,,,,
12190, ,,,,,,,,,,,,,,,,,,,
12193, ,,,,,,,,,,,,,,,,,,,
12209, ,,,,,,,,,,,,,,,,,,,
12211, ,,,,,,,,,,,,,,,,,,,
12216, ,,,,,,,,,,,,,,,,,,,
12226, ,,,,,,,,,,,,,,,,,,,
12228, ,,,,,,,,,,,,,,,,,,,
12229, ,,,,,,,,,,,,,,,,,,,
